wall,0
building;edifice,0
sky,0
floor;flooring,0
tree,1
ceiling,0
road;route,0
bed,1
windowpane;window,1
grass,0
cabinet,1
sidewalk;pavement,0
person;individual;someone;somebody;mortal;soul,1
earth;ground,0
door;double;door,1
table,1
mountain;mount,0
plant;flora;plant;life,1
curtain;drape;drapery;mantle;pall,1
chair,1
car;auto;automobile;machine;motorcar,1
water,0
painting;picture,1
sofa;couch;lounge,1
shelf,1
house,0
sea,0
mirror,1
rug;carpet;carpeting,0
field,0
armchair,1
seat,1
fence;fencing,1
desk,1
rock;stone,1
wardrobe;closet;press,1
lamp,1
bathtub;bathing;tub;bath;tub,1
railing;rail,1
cushion,1
base;pedestal;stand,1
box,1
column;pillar,1
signboard;sign,1
chest;of;drawers;chest;bureau;dresser,1
counter,1
sand,0
sink,1
skyscraper,0
fireplace;hearth;open;fireplace,1
refrigerator;icebox,1
grandstand;covered;stand,0
path,0
stairs;steps,1
runway,0
case;display;case;showcase;vitrine,1
pool;table;billiard;table;snooker;table,1
pillow,1
screen;door;screen,1
stairway;staircase,0
river,0
bridge;span,0
bookcase,1
blind;screen,1
coffee;table;cocktail;table,1
toilet;can;commode;crapper;pot;potty;stool;throne,1
flower,1
book,1
hill,0
bench,1
countertop,1
stove;kitchen;stove;range;kitchen;range;cooking;stove,1
palm;palm;tree,1
kitchen;island,1
computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system,1
swivel;chair,1
boat,1
bar,1
arcade;machine,1
hovel;hut;hutch;shack;shanty,0
bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle,1
towel,1
light;light;source,1
truck;motortruck,1
tower,0
chandelier;pendant;pendent,1
awning;sunshade;sunblind,1
streetlight;street;lamp,1
booth;cubicle;stall;kiosk,1
television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box,1
airplane;aeroplane;plane,1
dirt;track,0
apparel;wearing;apparel;dress;clothes,1
pole,1
land;ground;soil,0
bannister;banister;balustrade;balusters;handrail,1
escalator;moving;staircase;moving;stairway,0
ottoman;pouf;pouffe;puff;hassock,1
bottle,1
buffet;counter;sideboard,1
poster;posting;placard;notice;bill;card,1
stage,0
van,1
ship,1
fountain,1
conveyer;belt;conveyor;belt;conveyer;conveyor;transporter,0
canopy,1
washer;automatic;washer;washing;machine,1
plaything;toy,1
swimming;pool;swimming;bath;natatorium,0
stool,1
barrel;cask,1
basket;handbasket,1
waterfall;falls,0
tent;collapsible;shelter,1
bag,1
minibike;motorbike,1
cradle,1
oven,1
ball,1
food;solid;food,1
step;stair,1
tank;storage;tank,1
trade;name;brand;name;brand;marque,1
microwave;microwave;oven,1
pot;flowerpot,1
animal;animate;being;beast;brute;creature;fauna,1
bicycle;bike;wheel;cycle,1
lake,0
dishwasher;dish;washer;dishwashing;machine,1
screen;silver;screen;projection;screen,1
blanket;cover,1
sculpture,1
hood;exhaust;hood,1
sconce,1
vase,1
traffic;light;traffic;signal;stoplight,1
tray,1
ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,1
fan,1
pier;wharf;wharfage;dock,0
crt;screen,1
plate,1
monitor;monitoring;device,1
bulletin;board;notice;board,1
shower,1
radiator,1
glass;drinking;glass,1
clock,1
flag,1
